"Subject","Block","Trial","Load","accMW","MW"
123,3,99,1,0,3
123,3,100,0,1,1
123,3,102,1,1,2
124,1,2,0,1,3
124,1,4,1,1,1
124,1,5,1,1,1
124,1,7,1,1,1
124,1,10,0,1,1
124,1,11,1,0,2
124,1,13,0,1,1
124,1,15,0,1,1
124,1,19,1,1,1
124,1,21,0,1,1
124,1,23,0,1,1
124,1,26,0,1,1
124,1,29,0,1,1
124,1,31,1,1,1
124,1,34,0,1,1
124,2,38,1,1,1
124,2,40,0,1,1
124,2,42,0,0,1
124,2,44,0,1,1
124,2,46,0,1,1
124,2,48,1,1,1
124,2,50,1,1,1
124,2,53,1,0,4
124,2,54,0,1,2
124,2,55,1,1,2
124,2,57,1,1,1
124,2,59,0,1,5
124,2,60,1,0,1
124,2,62,1,1,1
124,2,63,0,1,2
124,2,66,1,1,2
124,2,67,1,1,2
124,3,71,1,0,5
124,3,73,1,1,2
124,3,75,1,1,2
124,3,77,0,1,2
124,3,80,0,1,2
124,3,82,0,1,2
124,3,85,1,1,2
124,3,87,1,1,2
124,3,89,0,1,2
124,3,92,1,1,2
124,3,94,0,1,2
124,3,97,0,1,2
124,3,99,1,0,2
124,3,100,0,1,2
124,3,102,1,1,2
125,1,2,0,1,1
125,1,4,1,1,1
125,1,5,1,1,1
125,1,7,1,1,1
125,1,10,0,1,1
125,1,11,1,1,1
125,1,13,0,1,1
125,1,15,0,1,1
125,1,19,1,1,1
125,1,21,0,1,1
125,1,23,0,1,1
125,1,26,0,1,2
125,1,29,0,1,2
125,1,31,1,1,1
125,1,34,0,1,1
125,2,38,1,1,1
125,2,40,0,1,1
125,2,42,0,1,1
125,2,44,0,1,1
125,2,46,0,1,1
125,2,48,1,1,1
125,2,50,1,1,1
125,2,53,1,1,1
125,2,54,0,1,1
125,2,55,1,1,1
125,2,57,1,1,1
125,2,59,0,1,1
125,2,60,1,1,1
125,2,62,1,1,2
125,2,63,0,1,2
125,2,66,1,1,1
125,2,67,1,1,1
125,3,71,1,1,1
125,3,73,1,1,1
125,3,75,1,1,1
125,3,77,0,1,1
125,3,80,0,1,1
125,3,82,0,1,2
125,3,85,1,1,1
125,3,87,1,1,1
125,3,89,0,1,1
125,3,92,1,1,2
125,3,94,0,1,2
125,3,97,0,1,1
125,3,99,1,1,1
125,3,100,0,1,1
125,3,102,1,1,2
126,1,2,0,1,2
126,1,4,1,1,1
126,1,5,1,1,3
126,1,7,1,1,1
126,1,10,0,1,1
126,1,11,1,1,1
126,1,13,0,1,1
126,1,15,0,1,1
126,1,19,1,1,1
126,1,21,0,1,1
126,1,23,0,1,1
126,1,26,0,1,1
126,1,29,0,1,2
126,1,31,1,1,1
126,1,34,0,1,1
126,2,38,1,1,1
126,2,40,0,1,1
126,2,42,0,1,1
126,2,44,0,1,1
126,2,46,0,1,1
126,2,48,1,1,1
126,2,50,1,0,3
126,2,53,1,0,2
126,2,54,0,1,1
126,2,55,1,0,1
126,2,57,1,1,1
126,2,59,0,1,1
126,2,60,1,1,2
126,2,62,1,1,1
